,Estado,Sembrada_ha,Cosechada_ha,Año,Mes
641,Total,133933,29024.0,2008,2
642,Campeche,2355,1275.0,2008,3
643,Chiapas,43414,22210.0,2008,3
644,Guerrero,95,56.0,2008,3
645,Hidalgo,4680,3992.0,2008,3
646,Jalisco,2059,145.0,2008,3
647,Nayarit,34898,34898.0,2008,3
648,Oaxaca,2444,1387.0,2008,3
649,Quintana roo,3099,2212.0,2008,3
650,San luis potosi,1490,834.0,2008,3
651,Sinaloa,7750,6269.0,2008,3
652,Tabasco,4503,2425.0,2008,3
653,Tamaulipas,527,164.0,2008,3
654,Veracruz,28673,13698.0,2008,3
655,Yucatan,601,524.0,2008,3
656,Total,137007,90089.0,2008,3
657,Campeche,2355,1470.0,2008,4
658,Chiapas,43414,33713.0,2008,4
659,Guerrero,95,95.0,2008,4
660,Hidalgo,4680,3992.0,2008,4
661,Jalisco,2059,1886.0,2008,4
662,Nayarit,34898,34898.0,2008,4
663,Oaxaca,2444,1793.0,2008,4
664,Quintana roo,3109,2554.0,2008,4
665,San luis potosi,1490,1264.0,2008,4
666,Sinaloa,7750,6279.0,2008,4
667,Tabasco,4748,3245.0,2008,4
668,Tamaulipas,527,482.0,2008,4
669,Veracruz,28673,16542.0,2008,4
670,Yucatan,601,547.0,2008,4
